party_id,country_name_short,country_name,election_date,vote_share,seats,party_name_short,party_name,party_name_english,country_id,election_id,party_name_ascii,family_name_short,family_name,family_id,most_recent_election_id,most_recent_election_date,most_recent_vote_share,most_recent_seats
993,BEL,Belgium,1978-12-17,1.4,1.0,VB,Vlaams Blok,Flemish Block,64,663,Vlaams Blok,right,Right-wing,40.0,816.0,2014-05-25 00:00:00,3.67,3.0
1594,BEL,Belgium,1981-11-08,2.3,2.0,AGL-Gr,Agalev â€“ Groen,Agalev -- Green,64,501,Agalev -- Groen,eco,Green/Ecologist,19.0,816.0,2014-05-25 00:00:00,5.32,6.0
161,BEL,Belgium,1981-11-08,2.5,2.0,Ecolo,Ã‰cologistes ConfÃ©dÃ©rÃ©s pour l'organisation de luttes originales,Confederated ecologists for the organisation of original struggles,64,501,Ecologistes Confederes pour l'organisation de luttes originales,eco,Green/Ecologist,19.0,816.0,2014-05-25 00:00:00,3.3,6.0
748,BEL,Belgium,1991-11-24,3.2,3.0,ROSSEM,Radikale Omvormers Strijdersen Stubbelaars vor Maatschappij,Radical Reformers Fighting for an Upright Society,64,418,Radikale Omvormers Strijdersen Stubbelaars vor Maatschappij,lib,Liberal,6.0,,,,
171,BEL,Belgium,1991-11-24,1.0,1.0,FN,Front National,National Front,64,418,Front National,right,Right-wing,40.0,,,,
915,BEL,Belgium,2003-05-18,11.4,24.0,MR,Mouvement RÃ©formateur,Reformist Movement,64,143,Mouvement Reformateur,lib,Liberal,6.0,816.0,2014-05-25 00:00:00,9.64,20.0
1113,BEL,Belgium,2003-05-18,14.91,23.0,SPa+Spi,Socialistische Partij Anders / Sociaal-Liberale Partij,Socialist Party Different / Social Liberal Party,64,143,Socialistische Partij Anders / Sociaal-Liberale Partij,soc,Social democracy,11.0,,,,
501,BEL,Belgium,2003-05-18,3.06,1.0,N-VA,Nieuw-Vlaamse Alliantie,New Flemish Alliance,64,143,Nieuw-Vlaamse Alliantie,con,Conservative,26.0,816.0,2014-05-25 00:00:00,20.26,33.0
972,BEL,Belgium,2007-06-10,18.5,30.0,CD+NVA,Christen-Democratisch & Vlaams / Nieuw-Vlaams Alliantie,Christian-Democrat and Flemish / New Flemish Alliance,64,401,Christen-Democratisch & Vlaams / Nieuw-Vlaams Alliantie,chr,Christian democracy,3.0,,,,
221,BEL,Belgium,2007-06-10,4.03,5.0,LD|LDD,"Lijst Dedecker | Libertair, Direct, Democratisch","List Dedecker | Libertarian, Direct, Democratic",64,401,"Lijst Dedecker | Libertair, Direct, Democratisch",lib,Liberal,6.0,,,,
438,BEL,Belgium,2010-06-13,1.29,1.0,Pp,Parti populaire,People's Party,64,486,Parti populaire,con,Conservative,26.0,816.0,2014-05-25 00:00:00,1.52,1.0
256,BEL,Belgium,2014-05-25,3.72,2.0,PA-PTB,Partij van de Arbeid â€“ Parti du Travail de Belgique,Workers' Party of Belgium,64,816,Partij van de Arbeid -- Parti du Travail de Belgique,com,Communist/Socialist,14.0,816.0,2014-05-25 00:00:00,3.72,2.0
353,BGR,Bulgaria,1994-12-18,6.51,18.0,ZNS,Zemedelski Naroden Suyuz,Agrarian People's Union,10,355,Zemedelski Naroden Suyuz,agr,Agrarian,2.0,,,,
599,BGR,Bulgaria,1994-12-18,4.73,13.0,BBB,Balgarski Biznes Blok,Bulgarian Business Bloc,10,355,Balgarski Biznes Blok,lib,Liberal,6.0,,,,
784,BGR,Bulgaria,1997-04-19,49.15,137.0,ODS,Obedineni Demokratichni Sili,United Democratic Forces,10,126,Obedineni Demokratichni Sili,con,Conservative,26.0,,,,
996,BGR,Bulgaria,1997-04-19,7.6,19.0,ONS,Obedinenie za Natsionalno Spasenie,Union for National Salvation,10,126,,,,,,,,
710,BGR,Bulgaria,1997-04-19,5.57,14.0,BE,Balgarska Evrolevica,Euro-Left Coalition,10,126,Balgarska Evrolevica,soc,Social democracy,11.0,,,,
544,BGR,Bulgaria,2001-06-18,42.74,120.0,NDSV,Natsionalno Dvizhenie Simeon Vtori,National Movement Simeon II,10,681,Natsionalno Dvizhenie Simeon Vtori,lib,Liberal,6.0,,,,
535,BGR,Bulgaria,2005-06-25,8.14,21.0,Ataka,Ataka,Attack,10,618,Ataka,right,Right-wing,40.0,,,,
57,BGR,Bulgaria,2005-06-25,6.44,17.0,DSB,Demokrati za Silna Balgariya,Democrats for a Strong Bulgaria,10,618,Demokrati za Silna Balgariya,con,Conservative,26.0,,,,
1375,BGR,Bulgaria,2005-06-25,5.19,13.0,BNS,Balgarski Naroden Suyuz,Bulgarian People's Union,10,618,Balgarski Naroden Suyuz,con,Conservative,26.0,,,,
1541,BGR,Bulgaria,2009-07-05,39.72,116.0,GERB,Grazhdani za Evropeysko Razvitie na Balgariya,Citizens for European Development of Bulgaria,10,79,Grazhdani za Evropeysko Razvitie na Balgariya,con,Conservative,26.0,1011.0,2017-03-26 00:00:00,33.54,95.0
1254,BGR,Bulgaria,2009-07-05,6.76,15.0,SK,Sinyata Koalitsiya,Blue Coalition,10,79,Sinyata Koalitsiya,con,Conservative,26.0,,,,
636,BGR,Bulgaria,2009-07-05,4.13,10.0,RZS,"Red, zakonnost i spravedlivost","Order, Lawfulness and Justice",10,79,"Red, zakonnost i spravedlivost",right,Right-wing,40.0,,,,
2363,BGR,Bulgaria,2014-10-05,8.89,23.0,RB,Reformatorski Blok,Reformist Bloc,10,840,Reformatorski Blok,con,Conservative,26.0,,,,
2211,BGR,Bulgaria,2014-10-05,7.28,19.0,NFSB,Natsionalen Front za Spasenie na Balgariya,National Front for the Salvation of Bulgaria,10,840,Natsionalen Front za Spasenie na Balgariya,right,Right-wing,40.0,1011.0,2017-03-26 00:00:00,9.31,27.0
2362,BGR,Bulgaria,2014-10-05,5.69,15.0,BBZ,Balgarija bes Zensura,Bulgaria Without Censorship,10,840,Balgarija bes Zensura,con,Conservative,26.0,,,,
2364,BGR,Bulgaria,2014-10-05,4.15,11.0,ABV,Alternativa za balgarsko vazrazhdane,Alternative for Bulgarian Revival,10,840,Alternativa za balgarsko vazrazhdane,soc,Social democracy,11.0,,,,
2637,BGR,Bulgaria,2017-03-26,4.26,12.0,Volya,Volya,Will,10,1011,Volya,lib,Liberal,6.0,1011.0,2017-03-26 00:00:00,4.26,12.0
2085,CAN,Canada,1949-06-27,0.2,1.0,LL,Liberal-Labour,Liberal-Labour,29,112,Liberal-Labour,lib,Liberal,6.0,,,,
677,CAN,Canada,1965-11-08,4.66,9.0,SCR,Ralliement crÃ©ditiste,Social Credit Rally,29,282,Ralliement creditiste,spec,Special issue,16.0,,,,
448,CAN,Canada,1993-10-25,13.51,54.0,BQ,Bloc QuÃ©bÃ©cois,Quebec Bloc,29,546,Bloc Quebecois,soc,Social democracy,11.0,994.0,2015-10-19 00:00:00,4.66,10.0
897,CAN,Canada,1993-10-25,18.72,52.0,RPC,Reform Party of Canada,Reform Party of Canada,29,546,Reform Party of Canada,con,Conservative,26.0,,,,
1255,CAN,Canada,2004-06-28,29.63,99.0,CPC,Conservative Party of Canada,Conservative Party of Canada,29,240,Conservative Party of Canada,con,Conservative,26.0,994.0,2015-10-19 00:00:00,31.89,99.0
1259,CAN,Canada,2011-05-02,3.9,1.0,GPC,Green Party of Canada,Green Party of Canada,29,703,Green Party of Canada,eco,Green/Ecologist,19.0,994.0,2015-10-19 00:00:00,3.45,1.0
628,CHE,Switzerland,1967-10-29,0.6,1.0,NA|SD,Nationale Aktion â€“ Action Nationale | Schweizer Demokraten â€“ DÃ©mocrates Suisses,National Action -- Swiss Democrats,40,373,Nationale Aktion -- Action Nationale | Schweizer Demokraten -- Democrates Suisses,right,Right-wing,40.0,,,,
564,CHE,Switzerland,1971-10-31,4.3,7.0,RB,Republikanische Bewegung,Republican Movement,40,176,Republikanische Bewegung,right,Right-wing,40.0,,,,
224,CHE,Switzerland,1975-10-26,0.3,1.0,PSA,Partito socialista autonomo,Autonomous Socialist Party,40,371,Partito socialista autonomo,com,Communist/Socialist,14.0,,,,
964,CHE,Switzerland,1979-10-21,0.18,2.0,POCH,Progressive Organisationen der Schweiz â€“ Organisations progressistes de Suisse,Progressive Organisations of Switzerland,40,435,Progressive Organisationen der Schweiz -- Organisations progressistes de Suisse,com,Communist/Socialist,14.0,,,,
141,CHE,Switzerland,1979-10-21,0.63,1.0,Grue,GrÃ¼ne â€“ Ã‰cologiste,Greens,40,435,Gruene -- Ecologiste,eco,Green/Ecologist,19.0,995.0,2015-10-18 00:00:00,7.06,11.0
1964,CHE,Switzerland,1979-10-21,,1.0,EJ,Entente jurassienne,Agreement Jura,40,435,Entente jurassienne,code,to be coded,28.0,,,,
1967,CHE,Switzerland,1983-10-23,,1.0,KHM,Komitee Herbert Maeder,Committee Herbert Maeder,40,631,Komitee Herbert Maeder,none,no family,12.0,,,,
1602,CHE,Switzerland,1987-10-18,2.6,2.0,FPS,Auto-Partei | Freiheitspartei der Schweiz,Automobile Party | Freedom Party of Switzerland,40,358,Auto-Partei | Freiheitspartei der Schweiz,right,Right-wing,40.0,,,,
569,CHE,Switzerland,1987-10-18,2.4,1.0,FGr-ASF,Feministische und grÃ¼n-alternative Gruppierungen â€“ Alternative socialiste verte et groupements fÃ©ministes,Feminists and Green-Alternative Groups,40,358,Feministische und gruen-alternative Gruppierungen -- Alternative socialiste verte et groupements feministes,eco,Green/Ecologist,19.0,,,,
1500,CHE,Switzerland,1991-10-20,1.4,2.0,LdT,Lega dei Ticinesi,Ticino League,40,521,Lega dei Ticinesi,right,Right-wing,40.0,995.0,2015-10-18 00:00:00,,2.0
1012,CHE,Switzerland,1991-10-20,0.4,1.0,CsP-PCS,Christlich-soziale Partei â€“ Parti chrÃ©tien-social,Christian Social Party,40,521,Christlich-soziale Partei -- Parti chretien-social,chr,Christian democracy,3.0,,,,
1318,CHE,Switzerland,1991-10-20,1.0,1.0,EDU-UDF,EidgenÃ¶ssisch-Demokratische Union â€“ Union DÃ©mocratique FÃ©dÃ©rale,Federal Democratic Union of Switzerland,40,521,Eidgenoessisch-Demokratische Union -- Union Democratique Federale,con,Conservative,26.0,,,,
1226,CHE,Switzerland,1999-10-24,0.5,1.0,S,solidaritÃ©S,Solidarity,40,427,solidariteS,com,Communist/Socialist,14.0,,,,
308,CHE,Switzerland,2007-10-21,1.4,3.0,GPL-PVL,GrÃ¼nliberale Partei der Schweiz â€“ Parti Vert-LibÃ©ral,Green Liberal Party,40,310,Gruenliberale Partei der Schweiz -- Parti Vert-Liberal,eco,Green/Ecologist,19.0,995.0,2015-10-18 00:00:00,4.63,7.0
1213,CHE,Switzerland,2011-10-23,5.42,9.0,BDP,BÃ¼rgerlichâ€“Demokratische Partei (BDP) GraubÃ¼nden,Conservative Democratic Party of Switzerland,40,779,Buergerlich--Demokratische Partei (BDP) Graubuenden,con,Conservative,26.0,995.0,2015-10-18 00:00:00,4.1,7.0
2599,CHE,Switzerland,2011-10-23,0.44,1.0,MCR,Mouvement Citoyens Genevois,Geneva Citizens' Movement,40,779,Mouvement Citoyens Genevois,right,Right-wing,40.0,995.0,2015-10-18 00:00:00,,1.0
2579,CHE,Switzerland,2015-10-18,,1.0,etc,others,others,40,995,others,none,no family,12.0,995.0,2015-10-18 00:00:00,,1.0
1575,CYP,Cyprus,1981-05-24,31.92,12.0,DISY,DimokratikÃ³s SinayermÃ³s,Democratic Rally,51,70,Dimokratikos Synagermos,con,Conservative,26.0,1004.0,2016-05-22 00:00:00,30.69,18.0
1523,CYP,Cyprus,1996-05-26,3.7,2.0,ED,Enomeni Dimokrates,United Democrats,51,330,Enomeni Dimokrates,lib,Liberal,6.0,,,,
1049,CYP,Cyprus,2001-05-27,2.2,1.0,ADK,Agonistiko Dimokratiko Kinima,Fighting Democratic Movement,51,339,Agonistiko Dimokratiko Kinima,right,Right-wing,40.0,,,,
1621,CYP,Cyprus,2001-05-27,2.0,1.0,KOP,Kinima Oikologoi Perivallontistoi,Ecological and Environmental Movement,51,339,Kinima Oikologoi Perivallontistoi,eco,Green/Ecologist,19.0,1004.0,2016-05-22 00:00:00,4.81,2.0
6,CYP,Cyprus,2001-05-27,3.0,1.0,NO,Neoi Orizontes,New Horizons,51,339,Neoi Orizontes,right,Right-wing,40.0,,,,
491,CYP,Cyprus,2006-05-21,5.75,3.0,EK,Evropaiko Komma,European Party,51,556,Evropaiko Komma,lib,Liberal,6.0,,,,
2341,CYP,Cyprus,2016-05-22,6.01,3.0,SYM,Symmaxia,Citizen's Alliance,51,1004,Symmaxia,soc,Social democracy,11.0,1004.0,2016-05-22 00:00:00,6.01,3.0
2626,CYP,Cyprus,2016-05-22,5.24,3.0,KINHMA,Kinima Allileggiis,Solidarity Movement,51,1004,Kinima Allileggiis,right,Right-wing,40.0,1004.0,2016-05-22 00:00:00,5.24,3.0
1768,CYP,Cyprus,2016-05-22,3.71,2.0,ELAM,Ethniko Laiko Metopo,National Popular Front,51,1004,Ethniko Laiko Metopo,right,Right-wing,40.0,1004.0,2016-05-22 00:00:00,3.71,2.0
829,CZE,Czech Republic,1992-06-06,29.73,66.0,ODS,ObÄanskÃ¡ demokratickÃ¡ strana,Civic Democratic Party,68,39,Obcanska demokraticka strana,con,Conservative,26.0,1020.0,2017-10-21 00:00:00,11.32,25.0
1173,CZE,Czech Republic,1992-06-06,14.05,35.0,KSCM,KomunistickÃ¡ strana Cech a Moravy,Communist Party of Bohemia and Moravia,68,39,Komunisticka strana Cech a Moravy,com,Communist/Socialist,14.0,1020.0,2017-10-21 00:00:00,7.76,15.0
1218,CZE,Czech Republic,1992-06-06,6.52,16.0,LSU,LiberÃ¡lnÄ› sociÃ¡lnÃ­ unie,Liberal Social Union,68,39,Liberalne socialni unie,lib,Liberal,6.0,,,,
789,CZE,Czech Republic,1992-06-06,6.53,16.0,CSSD,ÄŒeskÃ¡ strana sociÃ¡lnÄ› demokratickÃ¡,Czech Social Democratic Party,68,39,Ceska strana socialne demokraticka,soc,Social democracy,11.0,1020.0,2017-10-21 00:00:00,7.27,15.0
1123,CZE,Czech Republic,1992-06-06,5.93,14.0,ODA,ObÄanskÃ¡ demokratickÃ¡ aliance,Civic Democratic Alliance,68,39,Obcanska demokraticka aliance,lib,Liberal,6.0,,,,
872,CZE,Czech Republic,1992-06-06,5.98,14.0,SPR-RSC,SdruzenÃ­ pro republiku â€“ RepublikÃ¡nskÃ¡ strana Ceskoslovenska,Rally for the Republic -- Republican Party of Czechoslovakia,68,39,Sdruzeni pro republiku -- Republikanska strana Ceskoslovenska,right,Right-wing,40.0,,,,
688,CZE,Czech Republic,1998-06-20,8.6,19.0,US,Unie svobody ,Freedom Union,68,27,Unie svobody,lib,Liberal,6.0,,,,
196,CZE,Czech Republic,2006-06-03,6.29,6.0,SZ,Strana zelenÃ½ch,Green Party,68,50,Strana zelenych,eco,Green/Ecologist,19.0,,,,
2,CZE,Czech Republic,2010-05-29,16.7,38.0,TOP09,Tradice OdpovÄ›dnost Prosperita 09,Tradition Responsibility Prosperity 09,68,599,Tradice Odpovednost Prosperita 09,con,Conservative,26.0,1020.0,2017-10-21 00:00:00,5.31,7.0
336,CZE,Czech Republic,2010-05-29,10.88,24.0,VV,VÄ›ci veÅ™ejnÃ©,Public Affairs,68,599,Veci verejne,lib,Liberal,6.0,,,,
2024,CZE,Czech Republic,2010-05-29,,3.0,STAN,StarostovÃ© a nezÃ¡vislÃ­,Mayors and Independents,68,599,Starostove a nezavisli,spec,Special issue,16.0,1020.0,2017-10-21 00:00:00,5.18,6.0
2263,CZE,Czech Republic,2013-10-25,18.65,47.0,ANO,Akce nespokojenÃ½ch obÄanÅ¯,Action of Dissatisfied Citizens,68,805,Akce nespokojenych obcanu,lib,Liberal,6.0,1020.0,2017-10-21 00:00:00,29.64,78.0
2262,CZE,Czech Republic,2013-10-25,6.88,14.0,UPD,Ãšsvit pÅ™Ã­mÃ© demokracie,Dawn of Direct Democracy,68,805,Usvit prime demokracie,con,Conservative,26.0,,,,
2261,CZE,Czech Republic,2017-10-21,10.79,22.0,Pi,Ceska piratska strana,Czech Pirate Party,68,1020,Ceska piratska strana,spec,Special issue,16.0,1020.0,2017-10-21 00:00:00,10.79,22.0
2654,CZE,Czech Republic,2017-10-21,10.64,22.0,SPD,Svoboda a pÅ™Ã­mÃ¡ demokracie Tomio Okamura,Freedom and Direct Democracy Tomio Okamura,68,1020,Svoboda a prima demokracie Tomio Okamura,right,Right-wing,40.0,1020.0,2017-10-21 00:00:00,10.64,22.0
1507,DEU,Germany,1953-09-06,5.9,27.0,GB/BHE,Gesamtdeutscher Block / Bund der Heimatvertriebenen und Entrechteten,All-German Bloc / League of Expellees and Deprived of Rights,54,103,Gesamtdeutscher Block / Bund der Heimatvertriebenen und Entrechteten,right,Right-wing,40.0,,,,
772,DEU,Germany,1983-03-06,5.6,27.0,B90/Gru,BÃ¼ndnis 90 / Die GrÃ¼nen,Alliance 90 / Greens,54,484,Buendnis 90 / Die Gruenen,eco,Green/Ecologist,19.0,1016.0,2017-09-24 00:00:00,8.9,67.0
791,DEU,Germany,1990-12-02,2.4,17.0,Li/PDS,Die Linke / PDS,The Left / PDS,54,445,PDS | Die Linke,com,Communist/Socialist,14.0,1016.0,2017-09-24 00:00:00,9.2,69.0
255,DEU,Germany,1990-12-02,1.2,8.0,B90/Gr,BÃ¼ndnis 90 / GrÃ¼ne â€“ BÃ¼rgerInnenbewegung,Alliance 90 / Greens -- Citizens' Movement,54,445,Buendnis 90 / Gruene -- BuergerInnenbewegung,eco,Green/Ecologist,19.0,,,,
2253,DEU,Germany,2017-09-24,12.6,94.0,AfD,Alternative fÃ¼r Deutschland,Alternative for Germany,54,1016,Alternative fuer Deutschland,right,Right-wing,40.0,1016.0,2017-09-24 00:00:00,12.6,94.0
1786,DNK,Denmark,1947-10-28,2.2,3.0,HV,Hovedstadens Venstre,Liberals of the Capital,21,541,,,,,,,,
812,DNK,Denmark,1953-09-22,0.5,1.0,SP,Slesvigsk Parti,Schleswig Party,21,630,Slesvigsk Parti,spec,Special issue,16.0,,,,
1644,DNK,Denmark,1960-11-15,6.1,11.0,SF,Socialistisk Folkeparti,Socialist Peoples Party,21,73,Socialistisk Folkeparti,eco,Green/Ecologist,19.0,976.0,2015-06-18 00:00:00,4.09,7.0
538,DNK,Denmark,1960-11-15,3.3,6.0,DU,De UafhÃ¦ngige,Independents Party,21,73,De Uafhaengige,lib,Liberal,6.0,,,,
1478,DNK,Denmark,1966-11-22,2.5,4.0,LC,Liberalt Centrum,Liberal Centre,21,97,Liberalt Centrum,lib,Liberal,6.0,,,,
189,DNK,Denmark,1968-01-23,2.0,4.0,VS,Venstresocialisterne,Left Socialists,21,531,Venstresocialisterne,com,Communist/Socialist,14.0,,,,
978,DNK,Denmark,1973-12-04,15.9,27.0,FrP,Fremskridtspartiet,Progress Party,21,64,Fremskridtspartiet,lib,Liberal,6.0,,,,
1324,DNK,Denmark,1973-12-04,7.8,13.0,CD,Centrumdemokraterne,Centre Democrats,21,64,Centrumdemokraterne,con,Conservative,26.0,,,,
1331,DNK,Denmark,1973-12-04,4.0,7.0,KrF,Kristeligt Folkeparti,Christian People's Party,21,64,Kristeligt Folkeparti,chr,Christian democracy,3.0,,,,
2575,DNK,Denmark,1984-01-10,,1.0,At,Atassut,Solidarity (Greenland),21,597,Atassut,lib,Liberal,6.0,,,,
74,DNK,Denmark,1984-01-10,,1.0,Si,Siumut,Forward (Greenland),21,597,Siumut,soc,Social democracy,11.0,976.0,2015-06-18 00:00:00,0.22,1.0
2574,DNK,Denmark,1984-01-10,,1.0,FF,Hin fÃ¸royski fÃ³lkaflokkurin â€“ radikalt sjÃ¡lvstÃ½ri,People's Party (Faroe Islands),21,597,Hin foroyski folkaflokkurin -- radikalt sjalvstyri,con,Conservative,26.0,,,,
1892,DNK,Denmark,1984-01-10,,1.0,Sbf,Sambandsflokkurin,Union Party (Faroe Islands),21,597,Sambandsflokkurin,con,Conservative,26.0,,,,
367,DNK,Denmark,1987-09-08,2.2,4.0,FK,FÃ¦lles Kurs,Common Course,21,226,Faelles Kurs,com,Communist/Socialist,14.0,,,,
1894,DNK,Denmark,1987-09-08,,1.0,Jf,JavnaÃ°arflokkurin,Social Democratic Party (Faroe Islands),21,226,Javnadarflokkurin,soc,Social democracy,11.0,976.0,2015-06-18 00:00:00,0.16,1.0
306,DNK,Denmark,1994-09-21,3.1,6.0,En-O,Enhedslisten â€“ De RÃ¸d-GrÃ¸nne,Red-Green Alliance,21,89,Enhedslisten -- De Rod-Gronne,com,Communist/Socialist,14.0,976.0,2015-06-18 00:00:00,7.62,14.0
2576,DNK,Denmark,1994-09-21,,1.0,etc,others,others,21,89,others,none,no family,12.0,,,,
1418,DNK,Denmark,1998-03-11,7.4,13.0,DF,Dansk Folkeparti,Danish Peoples Party,21,389,Dansk Folkeparti,right,Right-wing,40.0,976.0,2015-06-18 00:00:00,20.58,37.0
1891,DNK,Denmark,2001-11-20,,1.0,IA,Inuit Ataqatigiit,Community of the People,21,632,Inuit Ataqatigiit,com,Communist/Socialist,14.0,976.0,2015-06-18 00:00:00,0.22,1.0
2568,DNK,Denmark,2001-11-20,,1.0,T,TjÃ³Ã°veldi,Republic (Faroe Islands),21,632,Tjodveldi,com,Communist/Socialist,14.0,976.0,2015-06-18 00:00:00,0.16,1.0
376,DNK,Denmark,2007-11-13,2.8,5.0,NLA,Ny-Liberal Alliance,New-Liberal Alliance,21,174,Ny-Liberal Alliance,lib,Liberal,6.0,976.0,2015-06-18 00:00:00,7.36,13.0
2567,DNK,Denmark,2015-06-18,4.68,9.0,A,Alternativet,The Alternative,21,976,Alternativet,eco,Green/Ecologist,19.0,976.0,2015-06-18 00:00:00,4.68,9.0
370,ESP,Spain,1979-03-01,1.82,5.0,PA,Partidu Andalucista,Andalusian Party,27,493,Partidu Andalucista,soc,Social democracy,11.0,,,,
1317,ESP,Spain,1979-03-01,0.96,3.0,HB,Herri Batasuna,United People,27,493,Herri Batasuna,spec,Special issue,16.0,,,,
1407,ESP,Spain,1979-03-01,2.11,1.0,UN,UniÃ³n Nacional,National Union,27,493,Union National,right,Right-wing,40.0,,,,
637,ESP,Spain,1982-10-28,2.88,2.0,CDS,CentrÃ³ DemocrÃ¡tico y Social,Democratic and Social Centre,27,85,Centro Democratico y Social,chr,Christian democracy,3.0,,,,
