party_id,country_name_short_from_elections,country_name_from_elections,election_type,election_date,vote_share,seats,seats_total,party_name_short_from_elections,party_name_from_elections,party_name_english_from_elections,left_right_from_elections,country_id_from_elections,election_id,previous_parliament_election_id,previous_cabinet_id,vote_share_max,vote_share_median,vote_share_mean,country_name_short_from_parties,country_name_from_parties,party_name_short_from_parties,party_name_english_from_parties,party_name_from_parties,party_name_ascii,family_name_short,family_name,left_right_from_parties,state_market,liberty_authority,eu_anti_pro,cmp,euprofiler,ees,castles_mair,huber_inglehart,ray,benoit_laver,chess,country_id_from_parties,family_id,election_year,election_decade,election_half_decade
2286,AUS,Australia,parliament,1922-12-16,4.7,5.0,76,LP,Liberal Party,Liberal Party,7.4,33,726,723.0,1011.0,4.7,4.7,4.7,AUS,Australia,LP,Liberal Party,Liberal Party,Liberal Party,con,Conservative,7.4,6.4,7.0,,,,,,,,,,33.0,26.0,1922,1920,1920
1914,AUS,Australia,parliament,1928-11-17,1.6,1.0,76,CPP-V,Country Progressive Party (Vic),Country Progressive Party (Vic),7.4,33,728,727.0,1013.0,1.6,1.3,1.3,AUS,Australia,CPP-V,Country Progressive Party (Vic),Country Progressive Party (Vic),Country Progressive Party (Vic),con,Conservative,7.4,6.4,7.0,,,,,,,,,,33.0,26.0,1928,1920,1925
1912,AUS,Australia,parliament,1931-12-19,36.4,34.0,76,UAP,United Australia Party,United Australia Party,7.4,33,744,729.0,1015.0,36.4,31.9,29.635999999999996,AUS,Australia,UAP,United Australia Party,United Australia Party,United Australia Party,con,Conservative,7.4,6.4,7.0,,,,,,,,,,33.0,26.0,1931,1930,1930
1904,AUS,Australia,parliament,1931-12-19,5.5,6.0,76,EC-SA,Emergency Committee (SA),Emergency Committee (SA),6.0,33,744,729.0,1015.0,5.5,5.5,5.5,AUS,Australia,EC-SA,Emergency Committee (SA),Emergency Committee (SA),Emergency Committee (SA),lib,Liberal,6.0,6.7,3.6,,,,,,,,,,33.0,6.0,1931,1930,1930
303,AUS,Australia,parliament,1931-12-19,10.6,4.0,76,LLP,Lang Labour Party,Lang Labour Party,3.3,33,744,729.0,1015.0,14.4,7.9,7.95,AUS,Australia,LLP,Lang Labour Party,Lang Labour Party,Lang Labour Party,soc,Social democracy,3.3,3.5,3.5,,,,,,,,,,33.0,11.0,1931,1930,1930
1919,AUS,Australia,parliament,1934-09-15,4.0,5.0,75,LCL,Liberal and Country League,Liberal and Country League,3.3,33,746,744.0,1016.0,4.4,4.0,3.966666666666667,AUS,Australia,LCL,Liberal and Country League,Liberal and Country League,Liberal and Country League,soc,Social democracy,3.3,3.5,3.5,,,,,,,,,,33.0,11.0,1934,1930,1930
1935,AUS,Australia,parliament,1934-09-15,2.2,2.0,75,ACP-V,Australian Country Party (Vic),Australian Country Party (Vic),7.4,33,746,744.0,1016.0,2.2,2.2,2.2,AUS,Australia,ACP-V,Australian Country Party (Vic),Australian Country Party (Vic),Australian Country Party (Vic),con,Conservative,7.4,6.4,7.0,,,,,,,,,,33.0,26.0,1934,1930,1930
1925,AUS,Australia,parliament,1934-09-15,1.0,1.0,75,NAT-WA,Nationalist,Nationalist,7.4,33,746,744.0,1016.0,1.0,1.0,1.0,AUS,Australia,NAT-WA,Nationalist,Nationalist,Nationalist,con,Conservative,7.4,6.4,7.0,,,,,,,,,,33.0,26.0,1934,1930,1930
1920,AUS,Australia,parliament,1937-10-23,3.4,3.0,75,VCP,Victorian Country Party,Victorian Country Party,7.4,33,745,746.0,1017.0,3.4,3.4,3.4,AUS,Australia,VCP,Victorian Country Party,Victorian Country Party,Victorian Country Party,con,Conservative,7.4,6.4,7.0,,,,,,,,,,33.0,26.0,1937,1930,1935
1941,AUS,Australia,parliament,1937-10-23,0.71,1.0,75,IUAP-NSW,Independent UAP (NSW),Independent UAP (NSW),,33,745,746.0,1017.0,0.71,0.71,0.71,AUS,Australia,IUAP-NSW,Independent UAP (NSW),Independent UAP (NSW),Independent UAP (NSW),none,no family,,,,,,,,,,,,,33.0,12.0,1937,1930,1935
1939,AUS,Australia,parliament,1940-09-21,1.3,2.0,75,LCP-V,Liberal Country Party (Vic),Liberal Country Party (Vic),5.3,33,738,745.0,1021.0,1.3,1.3,1.3,AUS,Australia,LCP-V,Liberal Country Party (Vic),Liberal Country Party (Vic),Liberal Country Party (Vic),agr,Agrarian,5.3,4.9,6.5,,,,,,,,,,33.0,2.0,1940,1940,1940
1928,AUS,Australia,parliament,1943-08-21,1.5,1.0,75,QC,Queensland Country Party,Queensland Country Party,7.4,33,737,738.0,995.0,1.5,1.5,1.5,AUS,Australia,QC,Queensland Country Party,Queensland Country Party,Queensland Country Party,con,Conservative,7.4,6.4,7.0,,,,,,,,,,33.0,26.0,1943,1940,1940
1933,AUS,Australia,parliament,1943-08-21,4.0,1.0,75,CN-QLD,Country-National Party (Qld),Country-National Party (Qld),7.4,33,737,738.0,995.0,4.0,4.0,4.0,AUS,Australia,CN-QLD,Country-National Party (Qld),Country-National Party (Qld),Country-National Party (Qld),con,Conservative,7.4,6.4,7.0,,,,,,,,,,33.0,26.0,1943,1940,1940
1411,AUS,Australia,parliament,1946-09-28,28.6,15.0,75,LPA,Liberal Party of Australia,Liberal Party of Australia,7.3903,33,739,737.0,574.0,41.8,36.55,35.90892857142857,AUS,Australia,LPA,Liberal Party of Australia,Liberal Party of Australia,Liberal Party of Australia,con,Conservative,7.3903,8.4211,6.9825,,63620.0,,,103.0,205.0,,4757.0,,33.0,26.0,1946,1940,1945
215,AUS,Australia,parliament,1975-12-13,0.2,1.0,127,CouLP,Country Liberal Party,Country Liberal Party,6.0,33,757,758.0,720.0,0.4,0.3,0.29125,AUS,Australia,CouLP,Country Liberal Party,Country Liberal Party,Country Liberal Party,lib,Liberal,6.0,6.7,3.6,,,,,,,,,,33.0,6.0,1975,1970,1975
154,AUS,Australia,parliament,2010-08-21,9.12,21.0,150,LNPQ,Liberal National Party of Queensland,Liberal National Party of Queensland,6.0,33,246,761.0,736.0,9.12,8.92,8.853333333333333,AUS,Australia,LNPQ,Liberal National Party of Queensland,Liberal National Party of Queensland,Liberal National Party of Queensland,lib,Liberal,6.0,6.7,3.6,,,,,,,,,,33.0,6.0,2010,2010,2010
751,AUS,Australia,parliament,2010-08-21,11.76,1.0,150,AG,Australian Greens,Australian Greens,1.5439,33,246,761.0,736.0,11.76,10.23,10.213333333333333,AUS,Australia,AG,Australian Greens,Australian Greens,Australian Greens,eco,Green/Ecologist,1.5439,1.2982,0.5614,,,,,,,,4739.0,,33.0,19.0,2010,2010,2010
2258,AUS,Australia,parliament,2013-09-07,1.04,1.0,150,Katter,Katter's Australian Party,Katter's Australian Party,3.3,33,804,246.0,1061.0,1.04,0.79,0.79,AUS,Australia,Katter,Katter's Australian Party,Katter's Australian Party,Katter's Australian Party,soc,Social democracy,3.3,3.5,3.5,,,,,,,,,,33.0,11.0,2013,2010,2010
2259,AUS,Australia,parliament,2013-09-07,5.49,1.0,150,PUP,Palmer United Party,Palmer United Party,6.0,33,804,246.0,1061.0,5.49,5.49,5.49,AUS,Australia,PUP,Palmer United Party,Palmer United Party,Palmer United Party,lib,Liberal,6.0,6.7,3.6,,,,,,,,,,33.0,6.0,2013,2010,2010
2630,AUS,Australia,parliament,2016-07-02,1.85,1.0,150,NXT,Nick Xenophon Team,Nick Xenophon Team,6.0,33,1006,804.0,1174.0,1.85,1.85,1.85,AUS,Australia,NXT,Nick Xenophon Team,Nick Xenophon Team,Nick Xenophon Team,lib,Liberal,6.0,6.7,3.6,,,,,,,,,,33.0,6.0,2016,2010,2015
1013,AUT,Austria,parliament,1945-11-25,49.8,85.0,165,OVP,Ã–sterreichische Volkspartei,Austrian People's Party,6.4733,59,402,,452.0,49.8,42.099999999999994,38.60136363636363,AUT,Austria,OVP,Austrian People's Party,Ã–sterreichische Volkspartei,Oesterreichische Volkspartei,chr,Christian democracy,6.4733,6.9485,7.6198,8.8451,42520.0,6.0,1040520.0,203.0,309.0,1302.0,4847.0,1302.0,59.0,3.0,1945,1940,1945
973,AUT,Austria,parliament,1945-11-25,44.6,76.0,165,SPO,Sozialdemokratische Partei Ã–sterreichs,Social Democratic Party of Austria,3.7293,59,402,,452.0,51.0,42.68,40.63772727272727,AUT,Austria,SPO,Social Democratic Party of Austria,Sozialdemokratische Partei Ã–sterreichs,Sozialdemokratische Partei Oesterreichs,soc,Social democracy,3.7293,3.4728,3.4766,8.4495,42320.0,11.0,1040320.0,202.0,308.0,1301.0,4865.0,1301.0,59.0,11.0,1945,1940,1945
769,AUT,Austria,parliament,1945-11-25,5.4,4.0,165,KPO,Kommunistische Partei Ã–sterreichs,Communist Party of Austria,0.5,59,402,,452.0,5.4,5.199999999999999,5.050000000000001,AUT,Austria,KPO,Communist Party of Austria,Kommunistische Partei Ã–sterreichs,Kommunistische Partei Oesterreichs,com,Communist/Socialist,0.5,1.4,3.0,0.0,42220.0,3.0,1040220.0,201.0,,1305.0,,,59.0,14.0,1945,1940,1945
50,AUT,Austria,parliament,1949-10-09,11.7,16.0,165,FPO,Freiheitliche Partei Ã–sterreichs,Freedom Party of Austria,8.3494,59,67,402.0,884.0,26.9,10.01,12.347619047619045,AUT,Austria,FPO,Freedom Party of Austria,Freiheitliche Partei Ã–sterreichs,Freiheitliche Partei Oesterreichs,right,Right-wing,8.3494,6.3291,8.5149,1.9815,42420.0,10.0,1040420.0,204.0,311.0,1303.0,4811.0,1303.0,59.0,40.0,1949,1940,1945
1429,AUT,Austria,parliament,1986-11-23,4.8,8.0,183,Gruene,Die GrÃ¼nen â€“ Die GrÃ¼ne Alternative,The Greens -- The Green Alternative,2.4604,59,235,456.0,828.0,12.4,7.4,8.055555555555557,AUT,Austria,Gruene,The Greens -- The Green Alternative,Die GrÃ¼nen â€“ Die GrÃ¼ne Alternative,Die Gruenen -- Die Gruene Alternative,eco,Green/Ecologist,2.4604,2.7489,1.4308,6.6845,42110.0,9.0,1040110.0,,307.0,1304.0,4829.0,1304.0,59.0,19.0,1986,1980,1985
955,AUT,Austria,parliament,1994-10-09,6.0,11.0,183,LIF,Liberales Forum,Liberal Forum,4.8806,59,66,325.0,524.0,6.0,5.75,5.75,AUT,Austria,LIF,Liberal Forum,Liberales Forum,Liberales Forum,lib,Liberal,4.8806,7.3667,1.8667,9.6125,42421.0,,1040422.0,,310.0,1306.0,,1306.0,59.0,6.0,1994,1990,1990
1536,AUT,Austria,parliament,2006-10-01,4.1,7.0,183,BZO,BÃ¼ndnis Zukunft Ã–sterreich,Alliance for the Future of Austria,8.83,59,197,365.0,888.0,10.7,7.3999999999999995,7.3999999999999995,AUT,Austria,BZO,Alliance for the Future of Austria,BÃ¼ndnis Zukunft Ã–sterreich,Buendnis Zukunft Oesterreich,right,Right-wing,8.83,6.0,8.83,2.5,,8.0,1040600.0,,,,,1307.0,59.0,40.0,2006,2000,2005
2150,AUT,Austria,parliament,2013-09-29,5.7,11.0,183,TS,Team Stronach,Team Stronach,6.0,59,802,607.0,268.0,5.7,5.7,5.7,AUT,Austria,TS,Team Stronach,Team Stronach,Team Stronach,lib,Liberal,6.0,6.7,3.6,8.7,,,,,,,,,59.0,6.0,2013,2010,2010
2255,AUT,Austria,parliament,2013-09-29,5.0,9.0,183,NEOS,NEOS â€“ Das Neue Ã–sterreich,NEOS -- The New Austria,6.0,59,802,607.0,268.0,5.3,5.15,5.15,AUT,Austria,NEOS,NEOS -- The New Austria,NEOS â€“ Das Neue Ã–sterreich,NEOS -- Das Neue Oesterreich,lib,Liberal,6.0,6.7,3.6,8.7,,,,,,,,,59.0,6.0,2013,2010,2010
2651,AUT,Austria,parliament,2017-10-15,4.4,8.0,183,PILZ,Liste Peter Pilz,Peter Pilz List,2.5,59,1019,802.0,1485.0,4.4,4.4,4.4,AUT,Austria,PILZ,JETZT -- Pilz List,JETZT â€“ Liste Pilz,JETZT -- Liste Pilz,eco,Green/Ecologist,2.5,2.5,1.8,6.5,,,,,,,,,59.0,19.0,2017,2010,2015
2423,BEL,Belgium,parliament,1900-05-27,48.5,86.0,152,KP-PC,Katholieke Partij â€“ Parti catholique,Catholic Party,6.2,64,868,,,56.0,42.8,42.43866666666667,BEL,Belgium,KP-PC,Catholic Party,Katholieke Partij â€“ Parti catholique,Katholieke Partij -- Parti catholique,chr,Christian democracy,6.2,5.7,7.1,8.3,,,,,,,,,64.0,3.0,1900,1900,1900
2422,BEL,Belgium,parliament,1900-05-27,22.5,32.0,152,BWP-POB,Belgische Werkliedenpartij â€“ Parti Ouvrier Belge,Belgian Labour Party,3.3,64,868,,,39.4,29.44,25.608000000000004,BEL,Belgium,BWP-POB,Belgian Labour Party,Belgische Werkliedenpartij â€“ Parti Ouvrier Belge,Belgische Werkliedenpartij -- Parti Ouvrier Belge,soc,Social democracy,3.3,3.5,3.5,8.1,,,,,,,,,64.0,11.0,1900,1900,1900
63,BEL,Belgium,parliament,1900-05-27,22.7,31.0,152,LP-PL,Liberale Partij â€“ Parti libÃ©ral,Liberal Party,6.0,64,868,,,27.6,17.18,17.25695652173913,BEL,Belgium,LP-PL,Liberal Party,Liberale Partij â€“ Parti libÃ©ral,Liberale Partij -- Parti liberal,lib,Liberal,6.0,6.7,3.6,8.7,21420.0,,,,,,,,64.0,6.0,1900,1900,1900
2488,BEL,Belgium,parliament,1900-05-27,,2.0,152,etc,others,others,,64,868,,,2.5,1.52,1.52,BEL,Belgium,etc,others,others,others,none,no family,,,,,,,,,,,,,64.0,12.0,1900,1900,1900
2481,BEL,Belgium,parliament,1900-05-27,2.5,1.0,152,CV,Christene Volkspartij,Christian Peoples' Party [Daens],6.2,64,868,,,2.7,2.15,1.9833333333333332,BEL,Belgium,CV,Christian Peoples' Party [Daens],Christene Volkspartij,Christene Volkspartij,chr,Christian democracy,6.2,5.7,7.1,8.3,,,,,,,,,64.0,3.0,1900,1900,1900
1335,BEL,Belgium,parliament,1906-05-27,19.1,14.0,85,KLS,Kartel Liberale en Socialistische,Cartel of Liberals and Socialists,3.3,64,871,870.0,1376.0,19.1,2.1,7.010000000000001,BEL,Belgium,KLS,Cartel of Liberals and Socialists,Kartel Liberale en Socialistische,Kartel Liberale en Socialistische,soc,Social democracy,3.3,3.5,3.5,8.1,,,,,,,,,64.0,11.0,1906,1900,1905
2424,BEL,Belgium,parliament,1919-11-16,3.5,5.0,186,FP|VNV,Frontpartij | Vlaams Nationaal Verbond,Front Party | Flemish National Union,3.3,64,876,875.0,1281.0,8.4,5.6,5.314285714285715,BEL,Belgium,FP|VNV,Front Party | Flemish National Union,Frontpartij | Vlaams Nationaal Verbond,Frontpartij | Vlaams Nationaal Verbond,soc,Social democracy,3.3,3.5,3.5,8.1,,,,,,,,,64.0,11.0,1919,1910,1915
2564,BEL,Belgium,parliament,1921-11-20,4.3,4.0,186,CD,Catholic Dissidents,Catholic Dissidents,6.2,64,877,876.0,1279.0,4.3,4.3,4.3,BEL,Belgium,CD,Catholic Dissidents,Catholic Dissidents,Catholic Dissidents,chr,Christian democracy,6.2,5.7,7.1,8.3,,,,,,,,,64.0,3.0,1921,1920,1920
708,BEL,Belgium,parliament,1925-08-05,1.6,2.0,187,KPB-PCB,Kommunistische Partij â€“ Parti Communiste,Communist Party,1.4,64,878,877.0,1277.0,12.69,3.245,4.057222222222222,BEL,Belgium,KPB-PCB,Communist Party,Kommunistische Partij â€“ Parti Communiste,Kommunistische Partij -- Parti Communiste,com,Communist/Socialist,1.4,1.4,3.0,4.45,,,,301.0,,101.0,,,64.0,14.0,1925,1920,1925
2425,BEL,Belgium,parliament,1936-05-24,11.5,21.0,202,Rex,Parti Rexiste,Rexist Party,8.7,64,881,880.0,1270.0,11.5,7.875,7.875,BEL,Belgium,Rex,Rexist Party,Parti Rexiste,Parti Rexiste,right,Right-wing,8.8,5.9,8.5,2.3,,,,,,,,,64.0,40.0,1936,1930,1935
2569,BEL,Belgium,parliament,1936-05-24,0.94,2.0,202,DC,DÃ©mocrates ChrÃ©tiens, Christian Democrats,6.2,64,881,880.0,1270.0,0.94,0.94,0.94,BEL,Belgium,DC, Christian Democrats,DÃ©mocrates ChrÃ©tiens,Democrates Chretiens,chr,Christian democracy,6.2,5.7,7.1,8.3,,,,,,,,,64.0,3.0,1936,1930,1935
2486,BEL,Belgium,parliament,1939-04-02,3.2,6.0,202,KVV,Katholieke Vlaamse Volkspartij,Catholic Flemish People's Party,6.2,64,882,881.0,1301.0,3.2,3.2,3.2,BEL,Belgium,KVV,Catholic Flemish People's Party,Katholieke Vlaamse Volkspartij,Katholieke Vlaamse Volkspartij,chr,Christian democracy,6.2,5.7,7.1,8.3,,,,,,,,,64.0,3.0,1939,1930,1935
1051,BEL,Belgium,parliament,1946-02-17,42.54,92.0,202,PSC-CVP,Parti Social ChrÃ©tien â€“ Christelijke Volkspartij,Francophone Christian Social Party and Flemish Christian People's Party,6.2,64,19,882.0,204.0,47.68,42.54,42.46714285714285,BEL,Belgium,PSC-CVP,Francophone Christian Social Party and Flemish Christian People's Party,Parti Social ChrÃ©tien â€“ Christelijke Volkspartij,Parti Social Chretien -- Christelijke Volkspartij,chr,Christian democracy,6.2,5.7,7.1,8.3,21520.0,,,,,,,,64.0,3.0,1946,1940,1945
167,BEL,Belgium,parliament,1946-02-17,31.6,66.0,202,BSP-PSB,Belgische Socialistische Partij â€“ Parti Socialiste Belge,Belgian Socialist Party,2.5,64,19,882.0,204.0,37.3,29.75,31.16909090909091,BEL,Belgium,BSP-PSB,Belgian Socialist Party,Belgische Socialistische Partij â€“ Parti Socialiste Belge,Belgische Socialistische Partij -- Parti Socialiste Belge,soc,Social democracy,2.5,3.5,3.5,8.1,21320.0,,,302.0,,,,,64.0,11.0,1946,1940,1945
1268,BEL,Belgium,parliament,1954-04-11,0.8,1.0,212,LC,Listes catholiques,Catholics Lists,6.2,64,545,217.0,389.0,0.81,0.805,0.805,BEL,Belgium,LC,Catholics Lists,Listes catholiques,Listes catholiques,chr,Christian democracy,6.2,5.7,7.1,8.3,,,,,,,,,64.0,3.0,1954,1950,1950
290,BEL,Belgium,parliament,1954-04-11,2.2,1.0,212,VU,Volksunie,People's Union,6.5321,64,545,217.0,389.0,11.1,7.0,6.961333333333333,BEL,Belgium,VU,People's Union,Volksunie,Volksunie,right,Right-wing,6.5321,5.8809,6.06,6.4243,21913.0,,,309.0,407.0,110.0,5003.0,110.0,64.0,40.0,1954,1950,1950
969,BEL,Belgium,parliament,1965-05-23,1.3,3.0,212,FDF,Front DÃ©mocratique des Francophones,Francophone Democratic Front,6.1259,64,150,425.0,613.0,5.0,2.5,2.7190909090909092,BEL,Belgium,FDF,Francophone Democratic Front,Front DÃ©mocratique des Francophones | DÃ©FI,Front Democratique des Francophones,lib,Liberal,6.1259,6.25,5.8,8.7274,21912.0,,,306.0,408.0,111.0,,111.0,64.0,6.0,1965,1960,1965
723,BEL,Belgium,parliament,1968-03-31,20.0,50.0,212,CVP,Christelijke Volkspartij,Flemish Christian Peoples Party,5.7667,64,184,150.0,353.0,26.19,19.384999999999998,18.510714285714283,BEL,Belgium,CVP|CD&V,Flemish Christian Peoples Party | Christian Democrats & Flemish,Christelijke Volkspartij | Christen-Democratisch en Vlaams,Christelijke Volkspartij | Christen-Democratisch en Vlaams,chr,Christian democracy,5.7667,5.5876,7.2083,8.9013,21521.0,12.0,1056521.0,307.0,406.0,109.0,4883.0,109.0,64.0,3.0,1968,1960,1965
1192,BEL,Belgium,parliament,1968-03-31,11.7,19.0,212,PSC-CDH,Parti Social ChrÃ©tien â€“ Centre Democrate Humaniste,Francophone Christian Social Party -- Humanist Democratic Centre,5.4974,64,184,150.0,353.0,11.7,7.73,7.832666666666666,BEL,Belgium,PSC-CDH,Francophone Christian Social Party -- Humanist Democratic Centre,Parti Social ChrÃ©tien â€“ Centre Democrate Humaniste,Parti Social Chretien -- Centre Democrate Humaniste,chr,Christian democracy,5.4974,5.3711,6.6409,8.7795,21522.0,21.0,1056522.0,308.0,405.0,108.0,4903.0,108.0,64.0,3.0,1968,1960,1965
460,BEL,Belgium,parliament,1968-03-31,3.4,5.0,212,RW,Rassemblement Wallon,Walloon Rally,2.6,64,184,150.0,353.0,6.7,3.1799999999999997,3.9266666666666663,BEL,Belgium,RW,Walloon Rally,Rassemblement Wallon,Rassemblement Wallon,soc,Social democracy,2.6,3.5,3.5,8.1,21911.0,,,303.0,,,,,64.0,11.0,1968,1960,1965
1110,BEL,Belgium,parliament,1971-11-07,9.48,20.0,212,PVV|VLD,Partij voor Vrijheid en Vooruitgang | Vlaamse Liberalen en Democraten,Party of Liberty and Progress | Flemish Liberals and Democrats,7.0053,64,591,184.0,586.0,15.36,11.155000000000001,11.299285714285716,BEL,Belgium,PVV|VLD,Party of Liberty and Progress | Flemish Liberals and Democrats,Partij voor Vrijheid en Vooruitgang | Vlaamse Liberalen en Democraten,Partij voor Vrijheid en Vooruitgang | Vlaamse Liberalen en Democraten,lib,Liberal,7.0053,7.7639,3.7139,8.7549,21421.0,16.0,1056421.0,311.0,,106.0,5083.0,107.0,64.0,6.0,1971,1970,1970
454,BEL,Belgium,parliament,1971-11-07,5.66,11.0,212,PRL,Parti RÃ©formateur LibÃ©ral,Liberal Reformist Party,6.8551,64,591,184.0,586.0,10.26,8.35,8.091,BEL,Belgium,PRL,Liberal Reformist Party,Parti RÃ©formateur LibÃ©ral,Parti Reformateur Liberal,lib,Liberal,6.8551,7.2667,4.4381,9.0856,21422.0,,,310.0,409.0,107.0,,106.0,64.0,6.0,1971,1970,1970
640,BEL,Belgium,parliament,1971-11-07,1.3,3.0,212,PL(B),Parti LibÃ©ral [RÃ©gion bruxelloise],Liberal Party [Brussels Region],6.0,64,591,184.0,586.0,1.3,1.3,1.3,BEL,Belgium,PL(B),Liberal Party [Brussels Region],Parti LibÃ©ral [RÃ©gion bruxelloise],Parti Liberal [Region bruxelloise],lib,Liberal,6.0,6.7,3.6,8.7,21424.0,,,,,,,,64.0,6.0,1971,1970,1970
1378,BEL,Belgium,parliament,1978-12-17,13.0,32.0,212,PS,Parti Socialiste,Socialist Party [Francophone],2.9307,64,663,420.0,233.0,15.66,13.0,12.718181818181817,BEL,Belgium,PS,Socialist Party [Francophone],Parti Socialiste,Parti Socialiste,soc,Social democracy,2.9307,2.5938,3.1712,8.1465,21322.0,24.0,1056322.0,302.0,403.0,102.0,5023.0,102.0,64.0,11.0,1978,1970,1975
1029,BEL,Belgium,parliament,1978-12-17,12.4,26.0,212,SP,Socialistische Partij,Socialist Party,3.2459,64,663,420.0,233.0,14.91,12.4,11.831111111111111,BEL,Belgium,SP,Socialist Party,Socialistische Partij,Socialistische Partij,soc,Social democracy,3.2459,3.0183,3.0805,7.9023,21321.0,18.0,1056327.0,304.0,404.0,103.0,5043.0,103.0,64.0,11.0,1978,1970,1975
1440,BEL,Belgium,parliament,1978-12-17,0.9,1.0,212,RvA-UpD,Respect voor Arbeid en Democratie â€“ Union pour la Democratie et le Respect du Travail,Respect for Labour,9.2,64,663,420.0,233.0,2.7,1.15,1.5833333333333333,BEL,Belgium,RvA-UpD,Respect for Labour,Respect voor Arbeid en Democratie â€“ Union pour la Democratie et le Respect du Travail,Respect voor Arbeid en Democratie -- Union pour la Democratie et le Respect du Travail,right,Right-wing,9.2,5.9,8.5,2.3,,,,312.0,,,,,64.0,40.0,1978,1970,1975
